Material,Plant,Task List Type,Group,Group Counter,Valid From,Short Text,Language Key,Deletion Indicator,Base Quantity,Act./Operation UoM,Standard Value,Standard value unit,Standard Value2,Standard value unit3,Standard Value4,Standard value unit5,User field quantity,User field quantity6,Setup group category,Work center,Relevant
200029,0280,2,0280-9P3,50,43831,BP Rezept 2021,,,3400,CS,30,MIN,60,,300,,6000,6000,,BPETP3,
201633,0280,2,0280-9P3,51,43831,BP Rezept 2021,,,1850,CS,30,MIN,60,,240,,2222,2222,,BPETP3,
201636,0280,2,0280-9P3,52,43831,BP Rezept 2021,,,3900,CS,30,MIN,60,,420,,6000,6000,,BPETP3,
201652,0280,2,0280-9P3,53,43831,BP Rezept 2021,,,3600,CS,30,MIN,60,,420,,6000,6000,,BPETP3,
202723,0280,2,0280-9P3,54,43831,BP Rezept 2021,,,4000,CS,30,MIN,60,,300,,6000,6000,,BPETP3,
202725,0280,2,0280-9P3,55,43831,BP Rezept 2021,,,3600,CS,30,MIN,60,,300,,6000,6000,,BPETP3,
202726,0280,2,0280-9P3,56,43831,BP Rezept 2021,,,1777,CS,30,MIN,60,,300,,2222,2222,,BPETP3,
200031,0280,2,0280-9P4,4,43101,BP Rezept 2019,,,1666,CS,0,MIN,60,,300,,1555,1555,,BPETP4,
203100,0280,2,0280-9P4,7,43466,BP Rezept 2020,,,80,CS,30,MIN,60,,300,,109,109,,BPETP4,
202890,0280,2,0280-9P5,23,43101,BP Rezept 2019,,,500,CS,30,MIN,60,,360,,833,833,,BRGBP5,
202524,0280,2,0280-9P5,24,43101,BP Rezept 2019,,,500,CS,30,MIN,60,,360,,833,833,,BRGBP5,
200510,0280,2,0280-9P5,25,43101,BP Rezept 2019,,,666,CS,30,MIN,60,,240,,833,833,,BRGBP5,
200512,0280,2,0280-9P5,26,43466,BP Rezept 2020,,,750,CS,30,MIN,60,,240,,1083,1083,,BRGBP5,
200512,0280,2,0280-9P6,2,43101,BP Rezept 2019,,,750,CS,0,MIN,60,,240,,60,60,,BRGBP6,
202520,0280,2,0280-9P6,3,43101,BP Rezept 2019,,,500,CS,0,MIN,60,,360,,60,60,,BRGBP6,
202521,0280,2,0280-9P6,4,43101,BP Rezept 2019,,,500,CS,0,MIN,60,,360,,60,60,,BRGBP6,
200510,0280,2,0280-9P6,5,43466,BP Rezept 2020,,,1500,CS,30,MIN,60,,240,,2500,2500,,BRGBP6,
202520,0280,2,0280-9P6,6,43466,BP Rezept 2020,,,1500,CS,30,MIN,60,,360,,2500,2500,,BRGBP6,
202521,0280,2,0280-9P6,7,43466,BP Rezept 2020,,,1500,CS,30,MIN,60,,360,,2500,2500,,BRGBP6,
202524,0280,2,0280-9P6,8,43466,BP Rezept 2020,,,1500,CS,30,MIN,60,,360,,2500,2500,,BRGBP6,
202890,0280,2,0280-9P6,9,43466,BP Rezept 2020,,,1500,CS,30,MIN,60,,360,,2500,2500,,BRGBP6,
202518,0280,2,0280-9P6,10,43466,BP Rezept 2020,,,1500,CS,30,MIN,60,,360,,2500,2500,,BRGBP6,
202522,0280,2,0280-9P6,11,43466,BP Rezept 2020,,,1500,CS,30,MIN,60,,360,,833,833,,BRGBP6,
203136,0280,2,0280-9P6,12,43466,BP Rezept 2020,,,1500,CS,30,MIN,60,,360,,2500,2500,,BRGBP6,
202277,0280,2,0280-9P6,14,43466,BP Rezept 2020,,,1500,CS,30,MIN,60,,240,,833,833,,BRGBP6,
202278,0280,2,0280-9P6,15,43466,BP Rezept 2020,,,1600,CS,30,MIN,60,,240,,3500,3500,,BRGBP6,
203112,0280,2,0280-9P6,16,43466,BP Rezept 2020,,,3200,CS,30,MIN,60,,240,,7000,7000,,BRGBP6,
203118,0280,2,0280-9P6,17,43466,BP Rezept 2020,,,3200,CS,30,MIN,60,,240,,7000,7000,,BRGBP6,
200510,0280,2,0280-9P6,18,43831,BP Rezept 2021,,,1000,CS,30,MIN,60,,240,,2500,2500,,BRGBP6,
200512,0280,2,0280-9P6,19,43831,BP Rezept 2021,,,1200,CS,30,MIN,60,,240,,2667,2667,,BRGBP6,
202277,0280,2,0280-9P6,20,43831,BP Rezept 2021,,,1000,CS,30,MIN,60,,240,,833,833,,BRGBP6,
202278,0280,2,0280-9P6,21,43831,BP Rezept 2021,,,1200,CS,30,MIN,60,,240,,2667,2667,,BRGBP6,
202518,0280,2,0280-9P6,22,43831,BP Rezept 2021,,,1150,CS,30,MIN,60,,360,,2500,2500,,BRGBP6,
202520,0280,2,0280-9P6,23,43831,BP Rezept 2021,,,1150,CS,30,MIN,60,,360,,2500,2500,,BRGBP6,
202521,0280,2,0280-9P6,24,43831,BP Rezept 2021,,,1150,CS,30,MIN,60,,360,,2500,2500,,BRGBP6,
203260,0280,2,0280_BP1,F7,43831,"BPETP2_VIOBio_1,0l_Dark Berry",,,1,CS,,,,,,,0,0,,,
202522,0280,2,0280-9P6,25,43831,BP Rezept 2021,,,1150,CS,30,MIN,60,,360,,2500,2500,,BRGBP6,
202524,0280,2,0280-9P6,26,43831,BP Rezept 2021,,,1050,CS,30,MIN,60,,360,,2500,2500,,BRGBP6,
202890,0280,2,0280-9P6,27,43831,BP Rezept 2021,,,1150,CS,30,MIN,60,,360,,2500,2500,,BRGBP6,
203112,0280,2,0280-9P6,28,43831,BP Rezept 2021,,,3200,CS,30,MIN,60,,240,,5333,5333,,BRGBP6,
203118,0280,2,0280-9P6,29,43831,BP Rezept 2021,,,3200,CS,30,MIN,60,,240,,5333,5333,,BRGBP6,
203259,0280,2,0280-9P6,30,43831,BP Rezept 2021,,,3200,CS,30,MIN,60,,240,,5333,5333,,BRGBP6,
202948,0280,2,0280-9RE,33,43101,BP Rezept 2019,,,44,CS,0,MIN,60,,270,,44,44,,REPA02,
203099,0280,2,0280-9RE,34,43466,BP Rezept 2020,,,44,CS,0,MIN,60,,270,,44,44,,REPA02,
203124,0280,2,0280-9RE,35,43466,BP Rezept 2020,,,44,CS,0,MIN,60,,270,,44,44,,REPA01,
203292,0280,2,0280-9RE,37,43831,BP Rezept 2021,,,44,CS,0,MIN,60,,270,,44,44,,REPA02,
200030,0280,2,0280_BP1,4,40909,"BPETP4_VIO_Still_0,5l_Shrink",,,1700,CS,0,MIN,60,,300,,2000,2000,,BPETP4,
200031,0280,2,0280_BP1,5,40909,"BPETP4_VIO_Still_3x6x0,5l_Shrink",,,1388,CS,0,MIN,60,,300,,1555,1555,,BPETP4,
200032,0280,2,0280_BP1,6,40909,"BPETP4_VIO_Still_1,5l_Shrink",,,3000,CS,0,MIN,60,,300,,4166,4166,,BPETP4,
200479,0280,2,0280_BP1,30,40909,"BPETP4_VIO_Still_1,5l_Chep",,,60,CS,30,MIN,60,,300,,83,83,,BPETP4,
201652,0280,2,0280_BP1,92,41275,"BPETP3_VIO_MED_1,5l_Kiste",,,3600,CS,30,MIN,60,,420,,6000,6000,,BPETP3,
201636,0280,2,0280_BP1,93,41275,"BPETP3_VIO_MED_1,5l_Shrink",,,3900,CS,30,MIN,60,,420,,6000,6000,,BPETP3,
201633,0280,2,0280_BP1,94,40909,"BPETP3_VIO_MED_0,5l_Shrink",,,1850,CS,30,MIN,60,,240,,2222,2222,,BPETP3,
200029,0280,2,0280_BP1,97,41275,"BPETP3_VIO_Still_1,5l_Kiste",,,3400,CS,30,MIN,60,,300,,6000,6000,,BPETP3,
200030,0280,2,0280_BP1,98,41275,"BPETP3_VIO_Still_0,5l_Shrink",,,1777,CS,0,MIN,60,,300,,2222,2222,,BPETP3,
200032,0280,2,0280_BP1,A1,41275,"BPETP3_VIO_Still_1,5l_Shrink",,,4200,CS,30,MIN,60,,300,,6000,6000,,BPETP3,
